"","ID","Species","City","Site.Mng","Line","Site","Management"
"1","TO.MSP.M.L01.2","TO","MSP","L01.M","2","L01","M"
"2","TO.MSP.U.L01.2","TO","MSP","L01.U","2","L01","U"
"3","TO.MSP.M.L01.3","TO","MSP","L01.M","3","L01","M"
"4","TO.MSP.U.L01.3","TO","MSP","L01.U","3","L01","U"
"5","TO.MSP.M.L02.4","TO","MSP","L02.M","4","L02","M"
"6","TO.MSP.M.L04.5","TO","MSP","L04.M","5","L04","M"
"7","TO.MSP.M.L05.2","TO","MSP","L05.M","2","L05","M"
"8","TO.MSP.M.L06.4","TO","MSP","L06.M","4","L06","M"
"9","TO.MSP.M.L07.3","TO","MSP","L07.M","3","L07","M"
"10","TO.MSP.U.L07.3","TO","MSP","L07.U","3","L07","U"
"11","TO.MSP.M.L07.4","TO","MSP","L07.M","4","L07","M"
"12","TO.MSP.U.L07.4","TO","MSP","L07.U","4","L07","U"
"13","TO.MSP.M.L08.1","TO","MSP","L08.M","1","L08","M"
"14","TO.MSP.U.L10.3","TO","MSP","L10.U","3","L10","U"
"15","TO.MSP.U.L11.4","TO","MSP","L11.U","4","L11","U"
"16","TO.BAL.U.AA.1","TO","BAL","AA.U","1","AA","U"
"17","TO.BAL.U.CP.1","TO","BAL","CP.U","1","CP","U"
"18","TO.BAL.U.DHI.1","TO","BAL","DHI.U","1","DHI","U"
"19","TO.BAL.U.FH.2","TO","BAL","FH.U","2","FH","U"
"20","TO.BAL.M.LL4.3","TO","BAL","LL4.M","3","LL4","M"
"21","TO.BAL.M.RG2.2","TO","BAL","RG2.M","2","RG2","M"
"22","TO.BAL.U.TRC.1","TO","BAL","TRC.U","1","TRC","U"
"23","TO.BAL.U.WAB.1","TO","BAL","WAB.U","1","WAB","U"
"24","TO.BAL.U.WBO.2","TO","BAL","WBO.U","2","WBO","U"
"25","TO.BAL.M.WGP.1","TO","BAL","WGP.M","1","WGP","M"
"26","TO.LA.M.L11.5","TO","LA","L11.M","5","L11","M"
"27","TO.LA.M.L12.1","TO","LA","L12.M","1","L12","M"
"28","TO.LA.M.L16.4","TO","LA","L16.M","4","L16","M"
"29","TO.LA.M.L17.5","TO","LA","L17.M","5","L17","M"
"30","TO.LA.M.L18.3","TO","LA","L18.M","3","L18","M"
"31","TO.LA.M.L19.2","TO","LA","L19.M","2","L19","M"
"32","TO.LA.M.L20.1","TO","LA","L20.M","1","L20","M"
"33","TO.LA.M.L22.5","TO","LA","L22.M","5","L22","M"
"34","TO.LA.M.L24.1","TO","LA","L24.M","1","L24","M"
"35","TO.PX.M.ALA.1","TO","PX","ALA.M","1","ALA","M"
"36","TO.PX.M.BUF.1","TO","PX","BUF.M","1","BUF","M"
"37","TO.PX.M.CLA.1","TO","PX","CLA.M","1","CLA","M"
"38","TO.PX.M.COY.6","TO","PX","COY.M","6","COY","M"
"39","TO.PX.M.DEF.1","TO","PX","DEF.M","1","DEF","M"
"40","TO.PX.M.LAP.1","TO","PX","LAP.M","1","LAP","M"
"41","TO.PX.M.WES.4","TO","PX","WES.M","4","WES","M"
"42","LS.MSP.U.L02.1","LS","MSP","L02.U","1","L02","U"
"43","LS.MSP.U.L03.3","LS","MSP","L03.U","3","L03","U"
"44","LS.MSP.U.L04.1","LS","MSP","L04.U","1","L04","U"
"45","LS.MSP.U.L06.2","LS","MSP","L06.U","2","L06","U"
"46","LS.MSP.U.L07.2","LS","MSP","L07.U","2","L07","U"
"47","LS.MSP.U.L08.5","LS","MSP","L08.U","5","L08","U"
"48","LS.MSP.U.L09.3","LS","MSP","L09.U","3","L09","U"
"49","LS.MSP.U.L10.1","LS","MSP","L10.U","1","L10","U"
"50","LS.MSP.U.L11.1","LS","MSP","L11.U","1","L11","U"
"51","LS.BAL.U.AVH.1","LS","BAL","AVH.U","1","AVH","U"
"52","LS.BAL.U.CP.1","LS","BAL","CP.U","1","CP","U"
"53","LS.BAL.U.DHI.5","LS","BAL","DHI.U","5","DHI","U"
"54","LS.BAL.U.FH.B","LS","BAL","FH.U","B","FH","U"
"55","LS.BAL.U.GA.2","LS","BAL","GA.U","2","GA","U"
"56","LS.BAL.U.MUL.1","LS","BAL","MUL.U","1","MUL","U"
"57","LS.BAL.U.PAT.1","LS","BAL","PAT.U","1","PAT","U"
"58","LS.BAL.U.SVL.2","LS","BAL","SVL.U","2","SVL","U"
"59","LS.LA.M.L01.2","LS","LA","L01.M","2","L01","M"
"60","LS.LA.U.L01.2","LS","LA","L01.U","2","L01","U"
"61","LS.LA.M.L01.4","LS","LA","L01.M","4","L01","M"
"62","LS.LA.U.L01.4","LS","LA","L01.U","4","L01","U"
"63","LS.LA.M.L03.4","LS","LA","L03.M","4","L03","M"
"64","LS.LA.U.L04.2","LS","LA","L04.U","2","L04","U"
"65","LS.LA.U.L05.1","LS","LA","L05.U","1","L05","U"
"66","LS.LA.M.L06.2","LS","LA","L06.M","2","L06","M"
"67","LS.LA.U.L06.2","LS","LA","L06.U","2","L06","U"
"68","LS.LA.M.L06.4","LS","LA","L06.M","4","L06","M"
"69","LS.LA.U.L06.4","LS","LA","L06.U","4","L06","U"
"70","LS.LA.U.L07.3","LS","LA","L07.U","3","L07","U"
"71","LS.LA.U.L08.4","LS","LA","L08.U","4","L08","U"
"72","LS.LA.M.L09.2","LS","LA","L09.M","2","L09","M"
"73","LS.PX.M.ALA.1","LS","PX","ALA.M","1","ALA","M"
"74","LS.PX.M.CLA.6","LS","PX","CLA.M","6","CLA","M"
"75","LS.PX.M.DOW.4","LS","PX","DOW.M","4","DOW","M"
"76","LS.PX.M.ENC.4","LS","PX","ENC.M","4","ENC","M"
"77","LS.PX.M.MAN.5","LS","PX","MAN.M","5","MAN","M"
"78","LS.PX.U.MON.7","LS","PX","MON.U","7","MON","U"
"79","LS.PX.U.NTH.2","LS","PX","NTH.U","2","NTH","U"
"80","LS.PX.M.NUE.5","LS","PX","NUE.M","5","NUE","M"
"81","LS.PX.U.PKW.1","LS","PX","PKW.U","1","PKW","U"
